timestamp,device,event,detail
1720500751.108441,mouse,press,"Button.left at (173.6953125, 514.69921875)"
1720500751.207337,mouse,release,"Button.left at (173.6953125, 514.69921875)"
1720500751.724088,mouse,move,"(174.53125, 514.69921875)"
1720500751.72972,mouse,move,"(177.66796875, 514.69921875)"
1720500751.737972,mouse,move,"(183.28515625, 514.69921875)"
1720500751.746002,mouse,move,"(188.90234375, 514.69921875)"
1720500751.756314,mouse,move,"(197.671875, 514.69921875)"
1720500751.7625,mouse,move,"(208.08984375, 514.69921875)"
1720500751.773029,mouse,move,"(218.6953125, 514.69921875)"
1720500751.779166,mouse,move,"(229.046875, 514.69921875)"
1720500751.78662,mouse,move,"(241.66796875, 514.69921875)"
1720500751.795234,mouse,move,"(254.2421875, 514.69921875)"
1720500751.803103,mouse,move,"(269.046875, 514.69921875)"
1720500751.812483,mouse,move,"(283.07421875, 514.69921875)"
1720500751.819703,mouse,move,"(297.87890625, 514.69921875)"
1720500751.828438,mouse,move,"(312.35546875, 513.4921875)"
1720500751.83621,mouse,move,"(324.9765625, 513.4921875)"
1720500751.8441951,mouse,move,"(337.59765625, 511.1953125)"
1720500751.852345,mouse,move,"(352.40234375, 509.9609375)"
1720500751.861038,mouse,move,"(367.0, 507.52734375)"
1720500751.868628,mouse,move,"(381.8046875, 505.05859375)"
1720500751.876767,mouse,move,"(396.609375, 503.82421875)"
1720500751.8850718,mouse,move,"(409.23046875, 501.52734375)"
1720500751.893931,mouse,move,"(421.5859375, 500.40234375)"
1720500751.90141,mouse,move,"(434.20703125, 498.10546875)"
1720500751.909771,mouse,move,"(446.828125, 496.95703125)"
1720500751.91797,mouse,move,"(459.44921875, 495.80859375)"
1720500751.926332,mouse,move,"(472.0703125, 494.66015625)"
1720500751.9343948,mouse,move,"(482.67578125, 493.59765625)"
1720500751.942729,mouse,move,"(493.28125, 492.53515625)"
1720500751.950868,mouse,move,"(502.05078125, 491.55859375)"
1720500751.959106,mouse,move,"(505.20703125, 491.55859375)"
1720500751.967055,mouse,move,"(520.01171875, 491.55859375)"
1720500751.975863,mouse,move,"(522.1640625, 491.55859375)"
1720500751.983882,mouse,move,"(527.78125, 491.55859375)"
1720500751.991827,mouse,move,"(532.08203125, 491.55859375)"
1720500752.0000792,mouse,move,"(536.3828125, 491.55859375)"
1720500752.009148,mouse,move,"(539.5234375, 491.55859375)"
1720500752.016382,mouse,move,"(541.70703125, 491.55859375)"
1720500752.0249019,mouse,move,"(543.890625, 491.55859375)"
1720500752.032641,mouse,move,"(545.26953125, 491.55859375)"
1720500752.0416262,mouse,move,"(546.6484375, 491.55859375)"
1720500752.048964,mouse,move,"(548.02734375, 491.55859375)"
1720500752.0580301,mouse,move,"(548.3125, 491.55859375)"
1720500752.065425,mouse,move,"(548.6015625, 491.55859375)"
1720500752.5166368,mouse,move,"(548.6015625, 491.765625)"
1720500752.524729,mouse,move,"(548.6015625, 492.0546875)"
1720500752.532959,mouse,move,"(548.6015625, 492.34375)"
1720500752.541104,mouse,move,"(548.6015625, 493.09375)"
1720500752.5490549,mouse,move,"(548.6015625, 493.3828125)"
1720500752.557354,mouse,move,"(548.6015625, 493.671875)"
1720500752.565718,mouse,move,"(548.6015625, 493.9609375)"
1720500752.574909,mouse,move,"(548.6015625, 494.25)"
1720500752.5822961,mouse,move,"(548.6015625, 494.5390625)"
1720500752.591158,mouse,move,"(548.6015625, 494.828125)"
1720500752.598583,mouse,move,"(548.6015625, 495.1171875)"
1720500752.93474,mouse,move,"(548.80859375, 495.1171875)"
1720500752.942992,mouse,move,"(554.390625, 495.1171875)"
1720500752.951332,mouse,move,"(563.16015625, 495.1171875)"
1720500752.959342,mouse,move,"(571.9296875, 497.06640625)"
1720500752.9670541,mouse,move,"(591.640625, 501.2890625)"
1720500752.975378,mouse,move,"(642.23046875, 512.28515625)"
1720500752.98336,mouse,move,"(659.3984375, 517.56640625)"
1720500752.992324,mouse,move,"(725.99609375, 532.36328125)"
1720500753.000275,mouse,move,"(772.43359375, 545.02734375)"
1720500753.008369,mouse,move,"(797.75390625, 549.7734375)"
1720500753.016385,mouse,move,"(844.19140625, 560.32421875)"
1720500753.0249548,mouse,move,"(890.62890625, 570.875)"
1720500753.032842,mouse,move,"(937.06640625, 579.31640625)"
1720500753.0415812,mouse,move,"(974.8515625, 586.87109375)"
1720500753.04927,mouse,move,"(1013.53125, 592.671875)"
1720500753.058152,mouse,move,"(1045.171875, 597.9453125)"
1720500753.06564,mouse,move,"(1073.5625, 602.953125)"
1720500753.0740411,mouse,move,"(1084.16796875, 604.01171875)"
1720500753.0823302,mouse,move,"(1106.46875, 608.46875)"
1720500753.090867,mouse,move,"(1126.1796875, 612.69140625)"
1720500753.098221,mouse,move,"(1143.34765625, 616.65234375)"
1720500753.106431,mouse,move,"(1155.96875, 621.23828125)"
1720500753.114639,mouse,move,"(1168.58984375, 624.6796875)"
1720500753.124152,mouse,move,"(1179.1953125, 628.921875)"
1720500753.1308959,mouse,move,"(1190.66796875, 634.65625)"
1720500753.1397681,mouse,move,"(1201.2734375, 638.8984375)"
1720500753.147147,mouse,move,"(1210.04296875, 642.796875)"
1720500753.1569102,mouse,move,"(1218.8125, 646.6953125)"
1720500753.1638699,mouse,move,"(1227.55859375, 650.58203125)"
1720500753.1733649,mouse,move,"(1236.328125, 654.48046875)"
1720500753.180206,mouse,move,"(1245.09765625, 657.40234375)"
1720500753.190227,mouse,move,"(1252.203125, 660.06640625)"
1720500753.196806,mouse,move,"(1259.30859375, 662.73046875)"
1720500753.2072792,mouse,move,"(1266.4140625, 664.50390625)"
1720500753.213086,mouse,move,"(1273.51953125, 667.16796875)"
1720500753.223609,mouse,move,"(1280.625, 668.94140625)"
1720500753.229464,mouse,move,"(1283.76953125, 669.5703125)"
1720500753.2398221,mouse,move,"(1289.38671875, 671.171875)"
1720500753.2458382,mouse,move,"(1293.6875, 671.88671875)"
1720500753.256573,mouse,move,"(1297.98828125, 672.6015625)"
1720500753.262374,mouse,move,"(1301.1328125, 673.23046875)"
1720500753.2731361,mouse,move,"(1304.2890625, 673.859375)"
1720500753.278713,mouse,move,"(1306.46484375, 674.40234375)"
1720500753.290072,mouse,move,"(1307.84375, 674.40234375)"
1720500753.2951958,mouse,move,"(1310.02734375, 674.40234375)"
1720500753.3034308,mouse,move,"(1311.40625, 674.40234375)"
1720500753.311691,mouse,move,"(1312.15234375, 674.40234375)"
1720500753.319517,mouse,move,"(1313.53125, 673.94140625)"
1720500753.327855,mouse,move,"(1314.91015625, 673.48046875)"
1720500753.3360682,mouse,move,"(1315.66015625, 672.7265625)"
1720500753.344361,mouse,move,"(1317.0390625, 671.8046875)"
1720500753.352263,mouse,move,"(1317.7890625, 671.42578125)"
1720500753.360877,mouse,move,"(1319.15625, 670.51171875)"
1720500753.3686788,mouse,move,"(1319.90625, 669.7578125)"
1720500753.3772318,mouse,move,"(1320.65625, 669.00390625)"
1720500753.385092,mouse,move,"(1322.03515625, 668.08203125)"
1720500753.3936489,mouse,move,"(1322.78515625, 667.328125)"
1720500753.4013271,mouse,move,"(1323.53515625, 666.57421875)"
1720500753.41011,mouse,move,"(1324.43359375, 665.22265625)"
1720500753.417875,mouse,move,"(1325.3515625, 663.83984375)"
1720500753.425994,mouse,move,"(1326.1015625, 663.0859375)"
1720500753.4342332,mouse,move,"(1327.19140625, 660.8984375)"
1720500753.4426,mouse,move,"(1328.109375, 659.515625)"
1720500753.450651,mouse,move,"(1329.02734375, 658.1328125)"
1720500753.459082,mouse,move,"(1329.484375, 656.75)"
1720500753.466897,mouse,move,"(1330.40234375, 655.3671875)"
1720500753.475349,mouse,move,"(1330.859375, 653.984375)"
1720500753.483735,mouse,move,"(1331.31640625, 652.6015625)"
1720500753.491881,mouse,move,"(1331.7734375, 651.21875)"
1720500753.500126,mouse,move,"(1331.7734375, 650.46484375)"
1720500753.5080938,mouse,move,"(1331.7734375, 649.7109375)"
1720500753.516341,mouse,move,"(1331.7734375, 648.328125)"
1720500753.524585,mouse,move,"(1331.7734375, 647.57421875)"
1720500753.532717,mouse,move,"(1331.7734375, 646.8203125)"
1720500753.540992,mouse,move,"(1331.7734375, 646.52734375)"
1720500753.549191,mouse,move,"(1331.7734375, 645.7734375)"
1720500753.5578601,mouse,move,"(1331.48046875, 645.48046875)"
1720500753.565299,mouse,move,"(1330.7265625, 644.7265625)"
1720500753.5747478,mouse,move,"(1329.9765625, 643.9765625)"
1720500753.581855,mouse,move,"(1329.22265625, 643.22265625)"
1720500753.590305,mouse,move,"(1328.46875, 642.84375)"
1720500753.6050181,mouse,move,"(1327.71484375, 642.08984375)"
1720500753.611292,mouse,move,"(1327.421875, 641.796875)"
1720500753.626195,mouse,move,"(1326.66796875, 641.04296875)"
1720500753.626464,mouse,move,"(1326.375, 640.75)"
1720500753.634516,mouse,move,"(1326.08203125, 640.45703125)"
1720500753.6402822,mouse,move,"(1325.7890625, 640.1640625)"
1720500753.647269,mouse,move,"(1325.49609375, 639.87109375)"
1720500753.6573892,mouse,move,"(1325.203125, 639.87109375)"
1720500753.663796,mouse,move,"(1324.91015625, 639.578125)"
1720500753.6738958,mouse,move,"(1324.6171875, 639.28515625)"
1720500753.680289,mouse,move,"(1324.32421875, 639.28515625)"
1720500753.6909308,mouse,move,"(1324.03125, 638.9921875)"
1720500753.696624,mouse,move,"(1323.73828125, 638.69921875)"
1720500753.708192,mouse,move,"(1323.4453125, 638.69921875)"
1720500753.7130089,mouse,move,"(1322.69140625, 638.3203125)"
1720500753.724705,mouse,move,"(1322.3984375, 638.02734375)"
1720500753.729491,mouse,move,"(1322.10546875, 637.734375)"
1720500753.741442,mouse,move,"(1321.8125, 637.734375)"
1720500753.7461052,mouse,move,"(1321.51953125, 637.44140625)"
1720500753.7576818,mouse,move,"(1320.765625, 637.0625)"
1720500753.762223,mouse,move,"(1320.47265625, 636.76953125)"
1720500753.7741172,mouse,move,"(1319.71875, 636.390625)"
1720500753.779095,mouse,move,"(1318.96875, 636.015625)"
1720500753.79126,mouse,move,"(1318.67578125, 635.72265625)"
1720500753.7954218,mouse,move,"(1318.3828125, 635.4296875)"
1720500753.8079748,mouse,move,"(1318.08984375, 635.4296875)"
1720500753.8118,mouse,move,"(1317.796875, 635.13671875)"
1720500753.819804,mouse,move,"(1317.50390625, 635.13671875)"
1720500753.8363268,mouse,move,"(1317.25390625, 635.13671875)"
1720500753.892299,mouse,press,"Button.left at (1317.25390625, 635.13671875)"
1720500753.990857,mouse,release,"Button.left at (1317.25390625, 635.13671875)"
